Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Cayman Islands,CYM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,57.4131,53.10656,..,..,..,..,..,..,..,..,..,..,..,..,..,48.46973,48.81963,57.13729,66.47702,67.12779,69.69106
Chad,TCD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,37.42038,42.8064,47.98611,49.89444,51.56768,52.79663,56.2954,57.82043,..,..,..,..,..,..,..
Channel Islands,CHI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.6401,97.18707,94.73976,95.05167
China,CHN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,96.84793,97.13138,97.19181,95.90845,94.1896,92.30218,90.91295,77.61257,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,COL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,67.92708,75.54652,76.41073,77.52084,81.0354,86.27629,..,93.9263,96.33971,97.53765,97.08364,97.58325,..,97.19079,97.45559,96.38945,95.77798,96.28754,96.85236,97.22107
Comoros,COM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,67.64506,..,..,..,..,60.11501,66.85522,..,..,..,..,..,..,78.27015,..,..,..
"Congo, Dem. Rep.",COD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,60.68842,58.79063,57.54292,58.48502,66.03081,..,..,..,35.36999,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.41567,57.02207,..,..,..,89.33158
Costa Rica,CRI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,87.7338,88.28601,90.34506,91.13785,90.73269,92.44825,94.9123,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,48.58842,48.96816,..,..,..,54.52788,55.65437,..,57.73389,56.78921,60.91208,61.04901,56.53333,..,..,..,..,..,56.70874,..
Croatia,HRV,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,83.99843,92.57785,93.90806,96.16543,98.27225,99.61062,..,98.90439,98.86051,98.79378,97.11817,91.36655,94.60104
Cuba,CUB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,92.49299,92.08695,94.25896,95.06409,97.35006,97.2442,99.21638,99.00391,98.76532,98.93364,98.27877,97.56933,97.18777,95.25084,95.09391,94.99677,95.17276,97.42307,98.17652,99.8122,99.78649
Curacao,CUW,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,78.8221,79.15348,77.3593,97.62945,96.91663,96.213,96.11728,96.28477,..,97.62362,98.06997,97.5396,98.50694,98.63524,98.76019,99.66204,99.52019,99.34184,98.96124,99.14474,99.2851
Czech Republic,CZE,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Denmark,DNK,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,97.74097,98.30641,97.47507,96.99962,98.72784,98.32017,98.1969,..,99.44862,97.94551,98.10497,99.85078,99.87259,..,98.33726,96.23365,96.57507,97.10492,96.54925,96.4569,96.29306
Djibouti,DJI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,27.6568,27.77356,28.86181,26.28972,26.78134,27.43961,27.12084,25.96071,..,25.74267,25.89257,28.42425,30.05888,..,34.54507,36.71964,40.58928,44.88762,49.2966,48.84984,..
Dominica,DMA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,98.4134,97.29532,98.70662,98.00317,98.44496,95.5359,93.80365,89.25153,89.67437,97.17521,..
Dominican Republic,DOM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,83.89454,84.83389,..,90.57523,87.53027,82.48116,84.11261,82.57215,88.71442,85.16573,94.9425,92.15232
Ecuador,ECU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,92.28823,92.65225,93.69231,96.07117,96.4586,96.26091,96.99497,98.29734,99.36803,99.3116,..,99.37654,99.45537,99.36867,..,97.23945,96.76556
"Egypt, Arab Rep.",EGY,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,86.04808,..,..,87.49099,..,87.37067,88.39539,90.10671,91.80933,93.81212,96.21651,96.83703,95.58477,98.16385,..,98.60808,99.07436
